Z mean train,Z variance train,KL Divergence,KL Loss,adapter Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0023616415,0.0027117778,122.8226,122.8226,311.34094,1072.5378,29.101795,-5.3594394,0.0016109687,5.3558957e-05,0.0017534979,0.0014515634,0.0023912226,4.9802093e-05,0.0025537899,0.0022614738,-5.411887,0.60873425,-3.2584324,-7.266482,-0.00013325398,0.00066572626,0.00092193956,-0.0008073573,0.0003388478,0.0018742086,0.0062004197,-0.0060041426,0.039762925,0.3175233,-680.3048350741021,-694.2565011934422,-388.7323781593896,1000,30000,0,203.75516820000485,0,35.279207420069724,239.03437562007457,259.2295790971257,0
0.067110606,0.8657216,0.5108716,0.5108716,18.412188,90.83867,5.5533047,53.08208,-40.10253,11.213837,-22.637072,-84.89686,-34.37612,10.497798,-17.24386,-75.38968,-5.136418,0.66479504,-3.5300398,-8.504234,-0.0077725947,0.14022051,0.40457588,-0.38136646,-0.30806807,0.04592256,-0.16550043,-0.46034086,0.067308806,0.32105893,-675.9600689111978,-682.9389536498186,-407.24352323924893,2000,40000,0,200.57339180726558,20.197389867622405,13.788989486638457,234.55977116152644,491.97320359852165,1
0.10776831,0.88782775,0.61915267,0.61915267,22.766665,30.357275,29.67043,116.648735,-89.136406,31.365147,-40.440426,-197.86604,-84.69792,30.50298,-43.615555,-196.23808,-4.9774146,0.77836764,-3.1556973,-7.8352966,-0.0322064,0.12788683,0.40762323,-0.5079869,-0.3789624,0.07337507,-0.17304932,-0.5666123,0.67540425,0.28629953,-484.0723578043191,-500.27448736973565,-393.7528833384098,3000,50000,0,202.85781098203734,18.381140714976937,13.528623076621443,234.76757477363572,724.6642016749829,2
0.19716702,0.6660557,9.417248,9.417248,29.574125,50.357605,35.3962,174.42317,-151.7681,59.843082,-68.351135,-363.15512,-147.63988,59.16711,-64.61374,-360.68167,-4.997996,0.7841031,-2.4394271,-7.8717055,-0.025828522,0.16296147,0.63690794,-0.5110607,-0.35357505,0.07864149,-0.14672768,-0.5387412,0.30998665,0.28666466,-517.0816934514501,-516.6227075452618,-387.56346025938905,4000,60000,0,203.8976998371072,16.304796505253762,11.792964921798557,231.99546126415953,960.1041724169627,3
0.10697128,0.56448734,7.623534,7.623534,31.417452,80.901115,32.121178,227.9772,-196.17227,66.730484,-100.96081,-421.2176,-189.97089,65.08462,-100.39108,-413.60156,-4.913293,0.83177906,-2.2744668,-7.4446893,-0.019914256,0.1867422,0.5581113,-0.57176363,-0.3615777,0.0715516,-0.11565704,-0.5935078,0.5198989,0.14462903,-700.4670283962838,-684.9167937676134,-407.17667403423536,5000,70000,0,199.13524250034243,19.749582224991173,13.452663083095104,232.3374878084287,1190.8222959293053,4
0.086404756,0.71904117,10.795036,10.795036,15.7656145,107.28875,45.639248,288.3635,-240.50812,85.11715,-115.88756,-607.8982,-233.75531,83.48476,-108.72199,-601.0678,-4.842048,0.8759683,-1.8029339,-7.6851377,-0.028541157,0.23046784,0.6430418,-0.76970106,-0.35721296,0.081778444,-0.06983861,-0.60575706,0.1568192,0.31707373,-576.8697578178634,-571.4664706034021,-391.99462938598947,6000,80000,0,202.11430503986776,18.130454956088215,13.588591206353158,233.83335120230913,1423.0591255412437,5
0.35832533,0.842737,7.865574,7.865574,8.471256,131.32314,42.91293,335.7045,-280.5668,90.58911,-165.29457,-622.17725,-276.20993,88.55336,-163.03947,-617.257,-4.717846,1.1687405,-1.4178755,-8.558598,-0.032628935,0.2737809,0.7876594,-0.8638284,-0.3908981,0.07591175,-0.13493615,-0.65622896,0.22729866,0.14794478,-560.0281805429081,-546.7649560849917,-396.02683129068566,7000,90000,0,205.16668555885553,16.534175764769316,11.687858546152711,233.38871986977756,1659.758616455365,6
0.19745971,0.7304024,14.372685,14.372685,6.4756584,194.61403,54.790356,393.40768,-315.89902,89.50682,-184.73843,-688.9568,-311.74615,87.44903,-182.11719,-686.5778,-4.3391705,1.2270826,-0.33027953,-7.664927,-0.0331553,0.30790424,0.95772314,-1.1880412,-0.4224546,0.07914532,-0.06855759,-0.67475003,0.2663213,0.2971134,-473.55181473670456,-462.37167891284935,-397.1328924531479,8000,100000,0,199.6201745327562,19.845266464166343,13.53207022557035,232.9975112224929,1892.2234819387086,7
0.102845624,0.84209,10.1512375,10.1512375,5.342955,202.35912,55.210804,436.1014,-335.71088,127.98686,-154.03482,-820.7474,-332.47122,128.3115,-149.09737,-818.5291,-4.328551,1.3308094,-0.93165636,-9.016164,-0.012495314,0.33042222,1.1529332,-1.2610247,-0.46908396,0.101126455,-0.10348512,-0.7673993,0.19245264,0.1832074,-585.0696642819809,-579.536454017732,-403.17266303829086,9000,110000,0,204.64065979793668,19.312840105965734,13.639367734547704,237.59286763845012,2125.8143245684914,8
0.13967343,0.58248186,7.1492333,7.1492333,6.7291226,253.24577,47.64251,480.95206,-379.43845,114.96738,-207.51443,-880.8527,-376.9851,114.20692,-199.35896,-877.4695,-4.174536,1.2850158,-0.77658784,-8.563043,-0.0015162342,0.34407473,1.1283823,-1.3013004,-0.4507203,0.09147672,-0.12512952,-0.7813804,0.14789933,0.17916557,-675.3919592225202,-657.1551747452809,-415.5366090518105,10000,120000,0,204.61065907869488,15.31117894127965,12.609430940356106,232.53126896033064,2363.1702342228964,9
