Z mean train,Z variance train,KL Divergence,KL Loss,adapter Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0033234223,0.0027031281,24.580723,2.4580724,56.47617,66.93669,28.5944,-5.3144555,-0.0027302597,5.5832355e-05,-0.0025230155,-0.0028802762,-0.0013605263,5.9850317e-05,-0.0011665535,-0.0016181899,-5.4005947,0.58642596,-3.6591313,-7.065688,3.2108568e-05,0.000599509,0.0008685915,-0.00092747743,-0.0014162905,0.0030295367,0.009581527,-0.011528285,0.06629428,0.008974123,146.68781865042942,150.91102685460163,145.8568163183183,4000,6468,0,204.75693465117365,0,7.2822594861499965,212.03919413732365,233.93561313860118,0
0.096074864,0.030048545,13.440053,1.3440053,42.479195,169.5737,41.295235,-61.48182,53.315792,24.409805,110.275345,-18.804018,60.78761,22.274426,110.65905,-7.4746666,-2.3127637,1.8119098,2.141706,-7.119687,0.057744883,0.44352004,1.4407308,-1.3549845,-0.7600062,0.1422225,-0.32401526,-1.282908,0.24732018,0.008447282,35.65317969230068,6.911946835287057,-1.2504228686878243,8000,8623,0,211.416279819794,21.898159542120993,2.958813955076039,236.27325331699103,471.40561921847984,1
0.28225332,0.028995644,13.619545,1.3619546,49.541756,285.13486,87.58652,-125.17604,122.80666,26.93949,218.87466,27.25344,126.18847,21.211264,188.18425,59.973618,-0.42993164,2.6474054,6.87407,-12.690843,-0.0203378,0.7362077,2.169166,-3.122587,-0.7776784,0.13002369,-0.231871,-1.1357197,0.23881762,0.006652504,-30.830410828289985,9.609710667219346,25.721575185079764,12000,10941,0,210.40984137915075,23.09508620109409,2.9765067626722157,236.48143434291705,708.040389936883,2
0.29516762,0.019244108,15.777245,1.5777245,52.112553,211.08911,92.85553,-165.18918,161.69643,33.193066,249.20213,-27.938183,170.94383,30.95186,253.53015,3.973859,-0.09435504,2.5100763,8.47325,-6.1526494,0.07385121,0.70898765,2.4274316,-2.5319853,-0.8106309,0.15099677,-0.2578393,-1.2916344,0.29050568,0.007216451,83.4109607088396,15.739725974340697,49.74438042229232,16000,13196,0,213.05745631828904,23.248658685013652,2.9245536443777382,239.23066864768043,947.1268270681612,3
0.2756651,0.013544296,16.962214,1.6962214,54.82591,241.59924,99.560425,-193.16324,195.04285,35.793545,287.05566,-8.022306,202.58417,34.254456,307.91544,42.799335,0.09165301,2.5840364,6.815062,-7.7866926,-0.09868905,0.70671535,3.3158853,-2.9482841,-0.88191557,0.15900041,-0.19598761,-1.448422,0.29953712,0.0046400083,58.34568828674562,61.59926918428791,71.76328912016089,20000,15199,0,209.57210793206468,23.10608923714608,2.7830575052648783,235.46125467447564,1182.1994167077355,4
0.4455554,0.01892595,17.184654,1.7184654,45.47056,177.99455,87.339096,-227.83353,245.06168,35.30452,334.95108,70.928734,253.21994,31.865221,333.39844,132.79105,-0.64604694,2.5543287,7.232703,-9.556283,0.012337862,0.6243769,2.513588,-2.611674,-0.8822588,0.14926383,-0.37227482,-1.5615641,0.50429475,0.005830868,103.06200206788142,81.97488221880185,95.13634826259353,24000,17606,0,208.68808043003082,22.716270440723747,3.2249130732379854,234.62926394399256,1417.4214813397266,5
0.45260328,0.014855166,17.709412,1.7709411,44.818848,189.77039,87.30654,-230.15338,251.82262,30.124924,330.61243,73.75676,255.43631,29.420233,358.1924,81.69378,-0.7291784,2.5026534,7.4774027,-9.3218,0.025173735,0.6202292,2.982016,-2.226614,-0.8739124,0.16760738,-0.29600284,-1.5982294,0.69941807,0.0068728304,105.12524346989971,96.10085009991715,80.05473197673625,28000,19723,0,211.4236429608427,23.309326474089175,2.807315355632454,237.54028479056433,1650.228175649885,6
0.636044,0.018938567,19.157217,1.9157218,44.539207,221.70518,90.99652,-243.03412,256.6854,38.480103,357.14194,-4.3009872,265.56284,30.093758,368.86584,149.35634,-1.184615,2.459783,8.410862,-9.134987,0.062913045,0.5579173,2.1573975,-2.2566636,-0.82970154,0.17764078,-0.3013697,-1.7380406,0.21351293,0.004181172,126.55564689979923,115.42732910159133,121.93659637457263,32000,22223,0,210.56843775929883,18.576321939006448,3.1895185722969472,232.33427827060223,1885.8423966271803,7
0.38460714,0.01270243,18.01691,1.801691,27.421772,201.2886,116.72583,-226.70691,239.96072,39.344307,371.15475,20.961483,243.04987,34.005447,361.58746,146.70802,-1.3127847,2.2268448,7.523269,-8.573249,0.002920398,0.5412691,2.0618672,-2.0378149,-0.85908777,0.1560889,-0.290407,-1.5746646,0.39684722,0.004839561,153.29033322058604,124.93906371988693,139.3985647070345,36000,24352,0,210.2589532150887,21.856278121937066,2.77895378600806,234.89418512303382,2120.094461615663,8
0.31976435,0.011345921,18.634203,1.8634204,36.764347,156.67953,95.09033,-224.01498,233.94446,34.96365,306.3124,-11.519017,238.44327,28.471336,320.4995,85.94253,-1.5617102,2.1331718,8.0336485,-10.421436,0.026606506,0.5233999,1.8466811,-2.0542548,-0.84040046,0.16223927,-0.31038553,-1.6262996,0.22035274,0.002790067,146.40533093887132,134.98830603139228,130.50068069877872,40000,26352,0,209.5032054730691,21.214420665055513,2.4305466799996793,233.1481728181243,2354.433640126139,9
