Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
26.292423,0.78339326,3247.3013,324.73013,629458.94,266329.4,-21763.979,19910.89,10939.703,34244.785,-497.97238,21816.527,10822.449,35580.633,-456.66736,55.59619,17.67269,135.68802,-5.323017,-0.7052718,10.507358,46.981575,-157.64365,-0.6487122,0.569331,2.0,-3.272295,2.4816358,0.0061982693,417.27285089827757,402.0051246778173,442.8576053108251,44000,259210,0,337.3779019290232,59.88934018096188,7.050326639960986,404.3175687499461,4741.95993420406,10
1.862591,0.009445459,333.14703,33.314705,1020408.2,453587.47,-27133.521,25596.715,11267.992,42055.855,-361.2504,27272.596,10405.414,42014.062,-587.0926,50.525345,21.430414,173.4092,-14.419399,0.28923395,3.0462222,19.657171,-71.068405,-0.82926995,0.43540776,2.0,-5.0365133,1.0688028,0.00410795,296.4026994828243,313.32764290105496,303.413924976793,48000,264644,0,338.9441819289932,69.28503271297086,7.707139060017653,415.9363537019817,5152.122483632062,11
1.1704283,0.009872143,315.4312,31.543121,1535492.8,559959.4,-26105.748,24699.533,11356.32,39926.617,-745.8599,26238.08,10696.796,38852.81,-600.28955,54.313797,23.465147,169.89816,-10.122231,-0.084520824,4.2418604,25.276089,-126.8493,-0.7526577,0.45764217,2.0,-5.7137313,2.5129125,0.007815229,286.2261484621345,305.59267510716273,313.0149144985971,52000,269959,0,337.6711494529736,63.51130815298529,7.200339365052059,408.382796971011,5559.80473587499,12
1.239999,0.012682642,243.32196,24.332197,2784043.0,683842.25,-35601.887,33315.895,14764.181,51260.19,-644.31616,35734.457,13649.197,49524.15,-1241.5658,59.074394,23.756372,187.1647,-19.830538,0.017180266,4.1112456,23.222391,-125.26732,-0.85504866,0.5071899,2.0,-4.7799554,0.8197138,0.009160721,275.6574028999001,267.60342325877554,248.9702996072275,56000,275234,0,340.78252205700846,62.81106713495683,7.103393689088989,410.6969828810543,5966.96350976394,13
2.1667848,0.022543427,413.41058,41.34106,1938088.2,954509.1,-34942.703,32733.227,16312.63,50843.234,-746.0669,35011.65,15348.147,51495.234,-664.2705,56.45462,30.464743,207.55849,-11.6282425,-0.17062587,4.14239,44.313816,-92.96096,-0.8581912,0.56668967,2.0,-6.3357687,1.885865,0.0073832003,257.46455968413005,271.4327757422891,276.59813516541885,60000,280389,0,340.7714029510389,59.27294937596889,6.671255176013801,406.7156075030216,6374.6567187320325,14
1.0817398,0.0149214845,433.10956,43.310955,1938246.5,952841.9,-39244.043,37192.125,17236.46,59629.594,-1435.0072,39277.215,15938.608,60333.438,-770.93176,59.73278,30.849545,193.14305,-12.991446,0.10763195,4.4934244,52.19046,-94.775505,-0.85005194,0.560589,2.0,-5.609556,1.0475457,0.018479764,108.37775915774351,78.26205161385415,77.92869887996174,64000,285651,0,341.1315976229962,60.25076465704478,6.929009729006793,408.3113720090478,6775.858491419,15
1.8688053,0.024921665,318.16226,31.816227,6060875.5,2908612.0,-33506.457,31700.193,16483.941,79127.37,-1408.7286,33957.95,15730.453,76376.23,-896.27576,63.252743,34.374363,200.18658,-6.870057,-0.13560656,8.470128,52.91684,-324.81146,-0.83518565,0.6584719,2.0,-6.73448,3.1908145,0.0049665957,319.30616297292926,304.0842962272711,314.85306156499666,68000,290733,0,340.38512641802663,53.1414747320232,6.5618664980866015,400.08846764813643,7186.34963237209,16
3.9621425,0.14447784,722.0463,72.204636,2376301.5,1313859.5,-44065.76,41147.562,23782.62,87004.78,-1188.1615,44146.89,23052.729,89047.71,-1139.0214,66.66601,31.93631,218.86707,-8.374806,0.9206726,3.8371246,40.516716,-128.05745,-0.8399065,0.59328634,2.0,-4.896238,1.5441134,0.008215226,302.7990842259478,306.35175598862276,299.4906205178262,72000,296017,0,341.5837598819635,63.54436079598963,7.235594312020112,412.36371498997323,7595.681457871222,17
1.2289165,0.011388412,401.44666,40.144665,3433156.8,1338645.2,-43475.05,41093.703,21257.22,67419.75,-1065.8481,43553.99,19975.078,67871.08,-1178.1517,64.392715,33.92083,206.2594,-9.877656,-0.022376554,6.3744707,57.614304,-348.307,-0.9058938,0.62845683,2.0,-6.6595592,1.8646564,0.0052554198,313.076788224734,272.8489463687194,277.30872945351916,76000,301247,0,339.90404843800934,60.513023513020016,6.842809073103126,407.2598810241325,8004.929038368398,18
4.1651273,0.017470773,579.2888,57.928883,6237840.0,2482273.5,-61570.96,56737.18,31728.498,116719.16,-1357.9031,61373.062,30894.877,119420.3,-1448.69,74.46858,34.82553,200.43793,-8.242248,0.21844839,4.7492895,45.89288,-215.87968,-0.967636,0.6636604,2.0,-6.4578557,3.943771,0.011145243,277.6395509076694,257.962532519652,250.36746356478864,80000,306490,0,340.84633228200255,62.50053811602993,6.983528612996452,410.33039901102893,8414.503813451447,19
0.95258206,0.031142527,656.0813,65.60813,5747799.5,2165658.5,-57584.785,54323.65,31441.812,109672.3,-1362.5792,57222.31,30637.586,110291.234,-1582.8984,69.17848,36.34941,215.4647,-3.4392567,0.504515,4.77135,44.691444,-265.35635,-0.96199363,0.6491965,2.0,-4.9797792,2.2342434,0.004700945,111.4359830688151,81.6860459610137,82.15838860264417,84000,311898,0,340.84679619403323,61.74505170900375,7.263274147117045,409.855122050154,8815.085238043568,20
1.4896736,0.023762587,759.805,75.9805,35072190.0,8635230.0,-67546.14,63430.523,37381.344,120877.11,-1180.771,68097.17,37227.26,123821.9,-1861.0732,88.35594,33.905323,208.71826,-3.3869884,-1.5506854,12.209331,50.3992,-246.44933,-0.8932923,0.81713647,2.0,-5.3442893,1.8724251,0.0036801703,393.2340243194702,449.63430676764796,411.5235619843428,88000,317003,0,340.7326732290094,52.471744229027536,6.521680138830561,399.7260975968675,9227.385588231555,21
1.5309829,0.02307022,576.3706,57.637062,4661376.5,2380970.2,-60120.47,56679.582,34527.906,109463.766,-1582.7701,60450.38,33557.46,110865.984,-1970.4729,68.18504,38.6342,220.28401,-6.2002735,0.20222953,4.5558834,48.314583,-175.89986,-0.9149035,0.6660122,2.0,-5.042193,4.7819147,0.056583762,90.39600737399762,94.01662857541207,93.03251018989914,92000,322538,0,339.3645782149979,65.04608705197461,7.288348350906745,411.69901361787925,9628.197617768485,22
3.673092,0.017535478,924.42694,92.442696,10700165.0,4329974.0,-57578.15,53423.766,34913.375,120521.64,-1908.0625,57814.75,34972.066,124512.61,-2290.345,85.93808,35.44169,227.14606,-2.301861,-0.32154202,7.910152,58.27708,-226.26,-0.93874234,0.8443363,2.0,-6.106641,1.7064184,0.004674534,311.2933263855721,329.76136721830056,331.8852476222365,96000,327606,0,340.28948162996676,54.15980053099338,6.677314566099085,401.1265967270592,10038.11248299753,23
2.8974748,0.017931003,559.2929,55.92929,4602321.0,2024921.9,-62006.58,58304.32,36527.99,110808.56,-1560.6365,61894.17,35493.395,111655.125,-1689.5604,71.22831,39.205948,217.2068,-10.315152,0.2672152,4.5083838,51.89928,-90.34587,-0.9215597,0.6624893,2.0,-5.2022862,1.5429182,0.0020194692,466.564513584227,472.25013243011307,488.02198817229606,100000,332857,0,339.26428475696594,62.94785249896813,6.998514930950478,409.21065218688454,10453.550128310395,24
0.8773826,0.018267456,500.4746,50.047462,4847030.0,2333457.5,-56664.453,53408.08,31511.152,96089.266,-1905.7933,57075.24,30601.229,97178.055,-2990.5918,74.356346,38.35849,212.77716,-2.7387567,0.47649372,4.7807345,49.437855,-115.247795,-0.9413606,0.6853205,2.0,-6.3787594,2.0393817,0.0049941493,217.0442679123315,198.28685837180913,211.31913476095738,104000,338395,0,340.77725812001154,69.17504431703128,7.607158027065452,417.55946046410827,10860.105957836553,25
2.1514213,0.017581394,488.74802,48.8748,5604181.0,2449506.2,-55369.637,52113.426,29729.715,95278.97,-1240.9526,55314.094,28836.443,97330.31,-1724.4233,78.1802,42.143436,213.04526,-7.789731,-0.08009857,7.3411064,62.44442,-207.74045,-0.9003204,0.7621058,2.0,-6.208981,2.262306,0.0069353515,143.5820901236998,145.332818625023,154.82023803560315,108000,343576,0,339.7561894910177,58.171696963952854,6.831996855034959,404.75988331000553,11263.613603186619,26
3.4085565,0.02003867,878.08307,87.80831,7498599.0,2658292.5,-64593.35,60494.113,39021.77,134350.45,-2138.7295,64425.64,38555.684,135289.53,-2553.9648,78.801865,38.053013,218.13547,-4.1420593,0.1250577,5.4865417,53.474632,-113.55534,-0.9422503,0.7830152,2.0,-6.769267,3.6295388,0.0031757336,283.1666437672786,349.72269246207065,325.22612940803424,112000,348840,0,341.88753354601795,56.9197342779953,7.086077311949339,405.8933451359626,11673.892875563528,27
1.5001879,0.024636233,1163.1854,116.31854,7883432.0,5030099.5,-75153.5,70836.3,47155.727,155849.94,-2064.2253,75300.06,46490.316,158092.83,-1653.1007,78.79946,39.583828,226.78375,-7.2493515,-0.23379329,6.8932176,72.32026,-167.77623,-0.9474275,0.76611376,2.0,-5.9158497,3.178152,0.0019619097,289.93308430640343,199.46713919720776,272.7516812383291,116000,354253,0,339.69802618800895,61.305946920998394,7.174104081001133,408.1780771900085,12081.067631537735,28
