Z mean train,Z variance train,KL Divergence,KL Loss,adapter Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0047939704,0.0027092113,49.137962,4.9137964,100.413925,28.872803,16.24522,-3.995669,0.001023158,7.368889e-05,0.0012410628,0.0007995762,-0.0002026787,7.092158e-05,2.5297224e-05,-0.00037691218,-3.9898727,0.56363314,-2.3373017,-5.4198837,0.0003744281,0.00051899866,0.0008765966,-0.0006667008,0.0007513456,0.0028105169,0.01018992,-0.006202626,0.035169583,0.057958357,-2.3476325929129547,-3.2786883582744104,-3.19310123130004,2000,8000,0,152.82560801506042,0,5.890527898911387,158.7161359139718,171.40778079582378,0
0.082973674,0.3317132,4.026601,0.4026601,357.98126,35.477432,8.409492,-38.656437,31.76099,10.1447735,57.11763,2.0756924,34.51995,9.687014,58.051723,1.4370142,-2.2481685,1.8704698,2.2608016,-9.184417,-0.010048743,0.647287,1.4082655,-1.4810915,-0.24236256,0.11580501,-0.07910478,-0.61542886,0.062446523,0.055066865,23.885773429949175,24.200534080150256,-3.5674565755861334,4000,12000,0,153.40464530000463,12.69334441004321,3.0197612033225596,169.1177509133704,340.62380602397025,1
0.15747654,0.33163816,4.6725593,0.46725592,548.5788,62.58515,10.633974,-74.61042,69.58124,20.811039,113.72142,-8.459637,72.41821,20.587618,120.68344,-1.6687473,-2.353139,1.7490811,5.6785073,-7.081027,0.08292195,0.6370687,1.9757609,-2.0285518,-0.22250362,0.09286855,-0.054801174,-0.5780519,0.08607639,0.08421279,17.358660158007062,15.533160393709975,-7.977516096342027,6000,16000,0,172.74374891724437,12.791844978928566,3.1592307300306857,188.69482462620363,533.5474564488977,2
0.1596131,0.35837924,5.073805,0.5073805,771.62476,62.41925,12.460458,-116.48769,101.31874,17.108715,147.21286,44.023262,105.9477,16.845701,151.23819,48.12166,-2.7282257,1.7422875,3.850051,-8.490355,0.051097397,0.5822239,1.6477213,-1.6825943,-0.21236171,0.08705801,-0.018771771,-0.5910499,0.15689334,0.08094968,59.88924142586135,64.32063130468728,-14.70285303786757,8000,20000,0,172.8202168890275,17.020930025726557,3.2723641148768365,193.1135110296309,727.5368523574434,3
0.43361092,0.46141443,7.664856,0.76648563,949.6516,138.45946,29.11689,-175.79938,125.815704,18.79016,190.97472,66.6997,131.57884,18.068136,196.34587,69.45606,-2.7787755,1.7202003,5.2083874,-6.6246614,-0.0996465,0.5658466,1.6434042,-1.9587467,-0.18824057,0.10832682,0.06646882,-0.59466213,0.13742253,0.033639412,-113.93719250431731,-108.39352417759132,-3.5423152424940483,10000,24000,0,168.37014291714877,17.897050745785236,3.4217277579009533,189.68892142083496,916.9731627688743,4
0.57119346,0.27692652,13.808986,1.3808986,1108.5461,145.64978,28.031092,-238.2554,144.91327,20.588306,241.29414,60.060005,150.44705,20.505205,249.95132,74.50489,-2.4977455,1.8449011,4.1973276,-5.7301397,0.037796613,0.5849222,2.5509448,-1.7361829,-0.1996829,0.11114261,0.016551364,-0.6644186,0.19542828,0.0297242,-12.480129527740239,-2.0238216202015664,-12.604001607883191,12000,28000,0,163.64354459522292,17.64469913393259,3.3572524273768067,184.64549615653232,1102.913451357279,5
0.9716123,0.28956777,18.210371,1.8210372,1240.7509,119.0826,19.852715,-226.52908,169.21494,23.845282,270.50043,120.38359,171.81253,23.663471,272.39166,129.06284,-2.749381,1.6283244,2.2951884,-6.8592396,-0.08925328,0.539376,1.7541561,-1.8362745,-0.15524846,0.09610385,0.075376876,-0.54959416,0.22445078,0.024977516,-47.171083249047996,-61.79558274983588,9.756452846091502,14000,32000,0,168.2284026243724,18.939750492107123,3.400968909729272,190.5691220262088,1293.0481311120093,6
0.9396094,0.22776571,22.460764,2.2460763,1401.2296,230.55803,37.490307,-318.44507,184.35919,27.47909,286.95453,144.1221,187.17169,27.128323,291.51236,147.01593,-2.980464,1.573791,4.1313276,-8.017283,0.0070586144,0.5023885,1.5743737,-1.5972587,-0.1690185,0.08574673,0.10835781,-0.5601312,1.0266489,0.08324818,401.5050402394454,259.52993190656457,399.71479519132214,16000,36000,0,166.23006205214188,18.505502879153937,3.388328794389963,188.12389372568578,1481.2097837766632,7
1.0967703,0.2085392,23.717306,2.3717306,1.9779043,45.782013,20.098524,-200.39003,197.79156,28.310555,290.53134,165.36159,197.23903,27.88567,286.53836,164.37903,-3.1500134,1.7314705,4.320443,-6.3708086,-0.072693445,0.5067844,1.9083298,-2.0096974,-0.16215564,0.092369765,0.065817,-0.6246647,1.0284083,0.07702817,39.3482446581764,45.808673966112394,377.6764732592097,18000,40000,0,154.63977722497657,18.543587733991444,3.3968929103575647,176.58025786932558,1657.619018776808,8
0.31529877,0.035506852,24.871447,2.4871447,11.506769,427.7782,80.49675,-515.3374,606.11414,192.84265,988.05707,141.55356,608.6304,188.77191,967.388,143.40985,2.2633252,3.695293,11.826561,-5.9349756,-0.037191465,1.2311542,2.7155852,-2.7343733,-0.50268066,0.1830387,0.13009603,-1.1268209,0.96048623,0.06841026,724.2671173346732,744.4049025719441,430.3787311357754,20000,44000,0,161.26047549489886,18.372818704228848,3.3583887689746916,182.9916829681024,1840.6381354467012,9
